year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,party_simplified,vote_percentage
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,0.0,3686,3014472,20210113,OTHER,0.12227680336722319
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,0.0,1662,3014472,20210113,OTHER,0.05513403342276857
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,0.0,1650,3014472,20210113,OTHER,0.05473595375906626
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,1184,3014472,20210113,OTHER,0.03927719348529361
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"WRIGHT, MARGARET",PEACE & FREEDOM,0.0,1044,3014472,20210113,OTHER,0.03463293074210011
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,0.0,554,3014472,20210113,OTHER,0.018378011140922856
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"ZEIDLER, FRANK",SOCIALIST,0.0,469,3014472,20210113,OTHER,0.01555828018969823
1976,NEW MEXICO,NM,35,85,66,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,211419,416590,20210113,REPUBLICAN,50.74989798122854
1976,NEW MEXICO,NM,35,85,66,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,201148,416590,20210113,DEMOCRAT,48.28440433039679
1976,NEW MEXICO,NM,35,85,66,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,2462,416590,20210113,OTHER,0.5909887419285148
1976,NEW MEXICO,NM,35,85,66,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,1110,416590,20210113,LIBERTARIAN,0.26644902662089825
1976,NEW MEXICO,NM,35,85,66,US PRESIDENT,"ZEIDLER, FRANK",SOCIALIST,0.0,240,416590,20210113,OTHER,0.05761060035046449
1976,NEW MEXICO,NM,35,85,66,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,0.0,211,416590,20210113,OTHER,0.050649319474783364
1976,NEW YORK,NY,36,21,13,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,3244165,6668262,20210113,DEMOCRAT,48.65083285569763
1976,NEW YORK,NY,36,21,13,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,2825913,6668262,20210113,REPUBLICAN,42.378553812072774
1976,NEW YORK,NY,36,21,13,US PRESIDENT,"FORD, GERALD",CONSERVATIVE,0.0,274878,6668262,20210113,OTHER,4.122183561473739
1976,NEW YORK,NY,36,21,13,US PRESIDENT,"CARTER, JIMMY",LIBERAL PARTY,0.0,145393,6668262,20210113,OTHER,2.1803732366844613
1976,NEW YORK,NY,36,21,13,US PRESIDENT,OTHER,Unknown Party,0.0,143037,6668262,20210113,OTHER,2.1450416915232187
1976,NEW YORK,NY,36,21,13,US PRESIDENT,"MACBRIDE, ROGER",FREE LIBERTARIAN,0.0,12197,6668262,20210113,OTHER,0.18291122934281828
1976,NEW YORK,NY,36,21,13,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,0.0,10270,6668262,20210113,OTHER,0.15401314465448418
1976,NEW YORK,NY,36,21,13,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,6996,6668262,20210113,OTHER,0.10491489386589789
1976,NEW YORK,NY,36,21,13,US PRESIDENT,"LAROUCHE, LYNDON, JR.",LABOR,0.0,5413,6668262,20210113,OTHER,0.08117557468497788
1976,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,927365,1677906,20210113,DEMOCRAT,55.269186712485684
1976,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,741960,1677906,20210113,REPUBLICAN,44.219402040400354
1976,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,0.0,5607,1677906,20210113,OTHER,0.33416651469152625
1976,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,2219,1677906,20210113,LIBERTARIAN,0.13224817123247667
